Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,Philadelphia 76ers,28,6745,39.9,88.1,.453,12.8,34.3,.373,27.1,53.8,.504,17.5,22.7,.771,10.0,31.8,41.8,23.5,7.4,4.3,14.6,21.5,110.0
20,Charlotte Hornets,28,6745,41.1,88.7,.463,14.9,40.7,.367,26.2,48.1,.544,14.9,20.4,.731,11.0,34.8,45.8,28.2,8.1,5.4,15.4,19.1,112.0
21,Orlando Magic,28,6745,42.2,89.2,.473,13.4,36.0,.371,28.8,53.2,.542,15.0,19.4,.777,9.1,37.2,46.3,25.7,7.7,5.4,13.4,18.6,112.7
22,Toronto Raptors,28,6720,38.7,84.2,.460,14.1,37.2,.378,24.7,47.0,.525,20.2,25.4,.797,9.6,35.0,44.6,26.6,6.9,5.8,16.8,19.6,111.7
23,Los Angeles Clippers,29,6960,41.4,88.9,.466,12.1,33.9,.356,29.4,54.9,.534,16.3,20.6,.792,9.3,32.8,42.1,24.2,7.0,3.5,14.0,18.7,111.2
24,Golden State Warriors,28,6720,38.2,87.1,.438,12.6,34.2,.369,25.5,52.9,.482,20.5,26.0,.788,10.9,35.9,46.8,22.5,6.9,4.7,14.7,20.0,109.4
25,Milwaukee Bucks,28,6720,41.0,89.6,.457,14.3,36.8,.388,26.7,52.8,.506,14.8,19.1,.776,9.2,33.1,42.2,23.9,6.5,4.9,13.1,17.8,111.0
26,Dallas Mavericks,28,6745,41.4,87.8,.472,13.8,36.8,.376,27.5,51.0,.540,18.8,24.4,.769,10.0,35.8,45.8,24.0,7.5,4.0,13.8,21.8,115.4
27,Sacramento Kings,27,6505,43.9,90.7,.484,13.4,33.7,.399,30.5,57.0,.535,17.4,21.6,.807,10.7,34.0,44.7,26.1,7.8,4.9,12.9,20.2,118.7
28,Minnesota Timberwolves,28,6745,41.7,87.4,.477,11.3,30.1,.375,30.4,57.3,.531,19.2,24.4,.788,10.2,35.8,46.0,25.2,7.4,5.7,15.0,18.2,113.9
